fold,sample,protein,spearman,pearson,namesake_spearman,n_spots
holdout_tonsil,D1TNSL,CD274,0.4103533147364421,0.3470948040485382,,4503
holdout_tonsil,D1TNSL,CD3E,0.6019948883791393,0.5886743068695068,0.5152749917471174,4503
holdout_tonsil,D1TNSL,CD4,0.07700353592581372,0.0570942722260952,0.11563498309630578,4503
holdout_tonsil,D1TNSL,CD40,0.17930318674324092,0.11518259346485138,0.10165384758413924,4503
holdout_tonsil,D1TNSL,CD68,0.3012647486218416,0.2756619155406952,,4503
holdout_tonsil,D1TNSL,CD8A,0.53768221112237,0.5369354486465454,0.2734812677155896,4503
holdout_tonsil,D1TNSL,CEACAM8,0.04854461580280333,0.022843459621071815,,4503
holdout_tonsil,D1TNSL,CR2,0.30174471403720615,0.23200944066047668,0.15356645883071407,4503
holdout_tonsil,D1TNSL,CXCR5,0.6672089088056675,0.5532379746437073,0.3601943606412287,4503
holdout_tonsil,D1TNSL,EPCAM,0.2757771008357812,0.2515304982662201,0.025441477632084167,4503
holdout_tonsil,D1TNSL,FCGR3A,0.07445750197418095,-0.022627411410212517,0.022288044527678876,4503
holdout_tonsil,D1TNSL,HLA_DRA,0.5641192778689313,0.5390316843986511,,4503
holdout_tonsil,D1TNSL,ITGAM,-0.051225580838239415,0.017952093854546547,0.01875700312986494,4503
holdout_tonsil,D1TNSL,ITGAX,0.3055627116438829,0.2762821614742279,0.1707193479329083,4503
holdout_tonsil,D1TNSL,KRT5,0.7016325050218656,0.610834538936615,0.7589682868012376,4503
holdout_tonsil,D1TNSL,MS4A1,0.31961385777518514,0.34625566005706787,0.3989978876446649,4503
holdout_tonsil,D1TNSL,PAX5,0.7171081882904446,0.5011112689971924,0.5751095641091322,4503
holdout_tonsil,D1TNSL,PCNA,0.4326019239708813,0.4037235677242279,,4503
holdout_tonsil,D1TNSL,PDCD1,0.4478540140937608,0.4111005365848541,,4503
holdout_tonsil,D1TNSL,PECAM1,0.6650510148654137,0.6395233869552612,0.3947659843274154,4503
holdout_tonsil,D1TNSL,PTPRC_1,0.07757127293067481,0.050614990293979645,-0.006302516474979643,4503
holdout_tonsil,D1TNSL,PTPRC_2,0.321399748886096,0.29977449774742126,0.09724058150350368,4503
holdout_tonsil,D1TNSL,SDC1,0.18130920696395103,0.13046209514141083,0.09490410907615925,4503
