input,ckpt,sample,protein,isotype,pcc,spearman,std_true
proc,holdout_breast_cancer,A1LN,PAX5,False,0.004453362505657379,0.1862600480178761,1.3240177631378174
proc,holdout_breast_cancer,A1LN,PCNA,False,-0.23425114185664667,-0.379785234904967,0.6217760443687439
proc,holdout_breast_cancer,A1LN,PDCD1,False,0.20823333741122654,0.3045710240335842,0.4648968577384949
proc,holdout_breast_cancer,A1LN,PECAM1,False,0.5089152160335156,0.6317188836898131,0.4987795650959015
proc,holdout_breast_cancer,A1LN,PTPRC_1,False,0.22071151935759906,0.221356709129193,0.4473893344402313
proc,holdout_breast_cancer,A1LN,PTPRC_2,False,0.2440224024742194,0.3648684608156283,0.5496691465377808
proc,holdout_breast_cancer,A1LN,SDC1,False,-0.09615883404937878,0.10895823148581713,1.2163556814193726
proc,holdout_breast_cancer,A1LN,VIM,False,-0.360130465192402,-0.2773670213824413,0.5705645680427551
proc,holdout_breast_cancer,A1LN,mouse_IgG1k,True,-0.2383942055814912,-0.039499996634769656,0.8905408978462219
proc,holdout_breast_cancer,A1LN,mouse_IgG2a,True,-0.1222338649969534,0.0025533014613315502,1.1811292171478271
proc,holdout_breast_cancer,A1LN,mouse_IgG2bk,True,-0.08705578265154734,0.23995072787735147,2.0679969787597656
proc,holdout_breast_cancer,A1LN,rat_IgG2a,True,0.07012494116378883,0.10573735473137906,0.5108078718185425
proc,holdout_breast_cancer,A1TNSL,ACTA2,False,0.6969463518338256,0.7933534918070867,0.9816176295280457
proc,holdout_breast_cancer,A1TNSL,BCL2,False,0.6273856031343126,0.5838571788560604,0.41672930121421814
proc,holdout_breast_cancer,A1TNSL,CCR7,False,0.269388526008708,0.27526182964567264,0.3251306712627411
proc,holdout_breast_cancer,A1TNSL,CD14,False,0.23623784455269203,0.28325289399310116,0.32268577814102173
proc,holdout_breast_cancer,A1TNSL,CD163,False,0.20529059777107206,0.1418731219616883,0.32056933641433716
proc,holdout_breast_cancer,A1TNSL,CD19,False,0.09802284521474182,0.1639704940742314,0.31155577301979065
proc,holdout_breast_cancer,A1TNSL,CD27,False,0.10147587665422067,0.14237835469388532,0.34487611055374146
proc,holdout_breast_cancer,A1TNSL,CD274,False,0.34541775526810753,0.3351850880366293,0.9813857674598694
