fold,sample,protein,spearman,pearson,namesake_spearman,n_spots
holdout_tonsil,D1LN,CCR7,-0.30233085599724596,-0.2450854331254959,0.23395094210927522,114
holdout_tonsil,D1LN,CD14,-0.3170490674550941,-0.21512198448181152,0.11367512451004774,114
holdout_tonsil,D1LN,CD163,-0.5204552358194448,-0.5695205330848694,0.2484829938229626,114
holdout_tonsil,D1LN,CD19,0.2898159211032584,0.32773593068122864,0.2166471601494294,114
holdout_tonsil,D1LN,CD27,-0.19778052287316986,-0.17574885487556458,0.0007344972987672002,114
holdout_tonsil,D1LN,CD274,0.10226200360462526,0.09878630936145782,,114
holdout_tonsil,D1LN,CD3E,0.07188594803669428,0.09659136086702347,0.40894247531615,114
holdout_tonsil,D1LN,CD4,0.31339584050545755,0.3194682002067566,0.1650797685676223,114
holdout_tonsil,D1LN,CD40,0.047026184159899564,0.0029605699237436056,0.07777324088268459,114
holdout_tonsil,D1LN,CD68,0.3819809238371034,0.3872358202934265,,114
holdout_tonsil,D1LN,CD8A,0.052331868532431505,0.06830526143312454,0.23690709886934883,114
holdout_tonsil,D1LN,CEACAM8,0.31145177294911003,0.30027204751968384,,114
holdout_tonsil,D1LN,CR2,0.6865596079463763,0.719864547252655,0.5879432905057491,114
holdout_tonsil,D1LN,CXCR5,0.6479131649824832,0.665281355381012,0.25740785442121333,114
holdout_tonsil,D1LN,EPCAM,-0.06385856908527572,-0.0922834649682045,,114
holdout_tonsil,D1LN,FCGR3A,0.6168566857698305,0.46768519282341003,0.2022732814220026,114
holdout_tonsil,D1LN,HLA_DRA,0.6924485125858124,0.6936402320861816,,114
holdout_tonsil,D1LN,ITGAM,0.40918976934448476,0.4287005364894867,0.27627972825222213,114
holdout_tonsil,D1LN,ITGAX,0.4705980032806141,0.5013025403022766,-0.060734952612063825,114
holdout_tonsil,D1LN,KRT5,0.027472104655636785,0.023926645517349243,0.05417069377167216,114
holdout_tonsil,D1LN,MS4A1,0.7537433425811548,0.7726510167121887,0.552203092834761,114
holdout_tonsil,D1LN,PAX5,0.6774953929649056,0.6671856641769409,0.5655475626810821,114
holdout_tonsil,D1LN,PCNA,0.038042971993276775,0.02017325907945633,,114
holdout_tonsil,D1LN,PDCD1,0.7280978514003362,0.7300820350646973,,114
holdout_tonsil,D1LN,PECAM1,0.6147587128652722,0.6033870577812195,0.3273875534488804,114
holdout_tonsil,D1LN,PTPRC_1,0.10981146594844171,0.0875658243894577,-0.18545032370136147,114
holdout_tonsil,D1LN,PTPRC_2,0.43623660922217056,0.437877893447876,0.006368433798567158,114
holdout_tonsil,D1LN,SDC1,0.027407302403758535,0.025624144822359085,-0.08074399000238092,114
holdout_tonsil,D1LN,VIM,0.051238330531985996,0.04327854886651039,,114
holdout_tonsil,D1TNSL,ACTA2,0.23322616062767115,0.2281639128923416,0.33514281194699397,3960
holdout_tonsil,D1TNSL,BCL2,-0.38616113306884925,-0.3884119689464569,0.254463058410761,3960
holdout_tonsil,D1TNSL,CCR7,-0.234412777406027,-0.19248850643634796,0.18515704639375705,3960
holdout_tonsil,D1TNSL,CD14,0.3065265947140536,0.29707223176956177,0.0034917385391531343,3960
holdout_tonsil,D1TNSL,CD163,-0.21603959223030433,-0.17620424926280975,0.15285249103602644,3960
holdout_tonsil,D1TNSL,CD19,0.33110325019920045,0.2754450738430023,0.20034442367439292,3960
holdout_tonsil,D1TNSL,CD27,-0.25363795290047386,-0.20617377758026123,0.09451276081599759,3960
holdout_tonsil,D1TNSL,CD274,0.3833706407702367,0.29996708035469055,,3960
holdout_tonsil,D1TNSL,CD3E,0.6459348750977776,0.6277126669883728,0.558752162476153,3960
holdout_tonsil,D1TNSL,CD4,0.13006174947418678,0.1135842576622963,0.14380863159155566,3960
holdout_tonsil,D1TNSL,CD40,0.2730973195550527,0.21533307433128357,0.2026180562409394,3960
holdout_tonsil,D1TNSL,CD68,0.2795607560075657,0.25422927737236023,,3960
holdout_tonsil,D1TNSL,CD8A,0.6157860970941738,0.6031141877174377,0.2886746906189893,3960
holdout_tonsil,D1TNSL,CEACAM8,0.11693523843976741,0.04028049483895302,,3960
holdout_tonsil,D1TNSL,CR2,0.2976563185224327,0.3139955997467041,0.22560110732664707,3960
holdout_tonsil,D1TNSL,CXCR5,0.7210947450170397,0.6258535385131836,0.39300752799237015,3960
holdout_tonsil,D1TNSL,EPCAM,0.2595624516361386,0.25576847791671753,0.03654368768380411,3960
holdout_tonsil,D1TNSL,FCGR3A,0.06504017823934534,-0.009208647534251213,0.028809221731819917,3960
holdout_tonsil,D1TNSL,HLA_DRA,0.49644894336237644,0.5147514939308167,,3960
holdout_tonsil,D1TNSL,ITGAM,-0.02318933454886285,0.0334116667509079,0.02824729647113753,3960
holdout_tonsil,D1TNSL,ITGAX,0.3000544411473871,0.2747827470302582,0.18605951680390273,3960
