model,seed,sample,protein,spearman
mlp_64,1,A1TNSL,PCNA,0.5493154418462032
mlp_64,1,A1TNSL,PDCD1,0.5024648763420518
mlp_64,1,A1TNSL,PECAM1,0.7072191395352676
mlp_64,1,A1TNSL,PTPRC_1,0.1811436457566424
mlp_64,1,A1TNSL,PTPRC_2,0.414740865923348
mlp_64,1,A1TNSL,SDC1,0.21069818537417745
mlp_64,1,A1TNSL,VIM,0.6649822151772411
mlp_64,1,D1LN,ACTA2,0.2787192020214605
mlp_64,1,D1LN,BCL2,0.4011352289754239
mlp_64,1,D1LN,CCR7,0.40790795514158823
mlp_64,1,D1LN,CD14,0.16306187044977533
mlp_64,1,D1LN,CD163,0.3782050612515345
mlp_64,1,D1LN,CD19,0.4446132686267411
mlp_64,1,D1LN,CD27,0.18231186425327378
mlp_64,1,D1LN,CD274,-0.10087653973348497
mlp_64,1,D1LN,CD3E,0.7357466041575508
mlp_64,1,D1LN,CD4,0.11240261671320523
mlp_64,1,D1LN,CD40,0.0025119182253594717
mlp_64,1,D1LN,CD68,0.2075876876258797
mlp_64,1,D1LN,CD8A,0.5228461039723533
mlp_64,1,D1LN,CEACAM8,0.22036127828026164
mlp_64,1,D1LN,CR2,-0.08039244321685146
mlp_64,1,D1LN,CXCR5,0.39643120526529546
mlp_64,1,D1LN,EPCAM,-0.13792165308870571
mlp_64,1,D1LN,FCGR3A,0.3995684782143148
mlp_64,1,D1LN,HLA_DRA,0.40379654664711656
mlp_64,1,D1LN,ITGAM,0.24475243955299725
mlp_64,1,D1LN,ITGAX,0.24724934928675948
mlp_64,1,D1LN,KRT5,-0.0682482492838312
mlp_64,1,D1LN,MS4A1,0.24843246292829793
mlp_64,1,D1LN,PAX5,0.4008949918221632
mlp_64,1,D1LN,PCNA,-0.0017117343707425809
mlp_64,1,D1LN,PDCD1,-0.20865770836720826
mlp_64,1,D1LN,PECAM1,0.38355154194157176
mlp_64,1,D1LN,PTPRC_1,0.19127633961483545
mlp_64,1,D1LN,PTPRC_2,0.4993405574968142
mlp_64,1,D1LN,SDC1,0.07542386936065702
mlp_64,1,D1LN,VIM,-0.20015594077399215
mlp_64,1,D1TNSL,ACTA2,0.8176686494133157
mlp_64,1,D1TNSL,BCL2,0.5104235863386698
mlp_64,1,D1TNSL,CCR7,0.3964614360161575
mlp_64,1,D1TNSL,CD14,0.3366581754560966
mlp_64,1,D1TNSL,CD163,0.3611902815291455
mlp_64,1,D1TNSL,CD19,0.42045846107805296
mlp_64,1,D1TNSL,CD27,0.3965592506118585
mlp_64,1,D1TNSL,CD274,0.5331487627192715
mlp_64,1,D1TNSL,CD3E,0.8444274720819298
mlp_64,1,D1TNSL,CD4,0.41751363478953696
