input,ckpt,sample,protein,isotype,pcc,spearman,std_true
proc,holdout_breast_cancer,D1LN,MS4A1,False,0.21992677491596674,0.15865638807533483,0.43474096059799194
proc,holdout_breast_cancer,D1LN,PAX5,False,0.15628787414628856,0.056342684568076805,0.7491156458854675
proc,holdout_breast_cancer,D1LN,PCNA,False,-0.3178452117875724,-0.3710502828948471,0.49408024549484253
proc,holdout_breast_cancer,D1LN,PDCD1,False,0.24464979191574412,0.20009143236523463,0.31080517172813416
proc,holdout_breast_cancer,D1LN,PECAM1,False,0.4413977545661956,0.4793385916665361,0.34858715534210205
proc,holdout_breast_cancer,D1LN,PTPRC_1,False,-0.17118120004791965,-0.17698435707155483,0.3015083968639374
proc,holdout_breast_cancer,D1LN,PTPRC_2,False,0.09733103971199504,0.13444902071570025,0.40638190507888794
proc,holdout_breast_cancer,D1LN,SDC1,False,0.027500637363346212,-0.055720968116812916,0.7057138681411743
proc,holdout_breast_cancer,D1LN,VIM,False,0.13748410748262252,0.07907673201422892,0.41678351163864136
proc,holdout_breast_cancer,D1LN,mouse_IgG1k,True,0.08759251939832281,0.039542155596478876,0.585074782371521
proc,holdout_breast_cancer,D1LN,mouse_IgG2a,True,0.08264905086310231,0.044024256914312755,0.7170398235321045
proc,holdout_breast_cancer,D1LN,mouse_IgG2bk,True,0.03617885980938613,0.05860255201841263,1.598583459854126
proc,holdout_breast_cancer,D1LN,rat_IgG2a,True,-0.045450437393545956,-0.1019989891797114,0.3989099860191345
proc,holdout_breast_cancer,D1TNSL,ACTA2,False,0.6368172257419926,0.7961977814731462,1.148900032043457
proc,holdout_breast_cancer,D1TNSL,BCL2,False,0.40919644029774366,0.2835405313088172,0.4172714054584503
proc,holdout_breast_cancer,D1TNSL,CCR7,False,-0.17918881046237858,-0.20092627816305503,0.2987702190876007
proc,holdout_breast_cancer,D1TNSL,CD14,False,0.27677069149158406,0.2671822498579437,0.29528936743736267
proc,holdout_breast_cancer,D1TNSL,CD163,False,0.07260463663413323,0.06258964129807132,0.3043749928474426
proc,holdout_breast_cancer,D1TNSL,CD19,False,-0.021493562347098413,0.003985317500328901,0.292437344789505
proc,holdout_breast_cancer,D1TNSL,CD27,False,0.3816998199585495,0.39112806941715655,0.299000084400177
proc,holdout_breast_cancer,D1TNSL,CD274,False,0.33493539305064446,0.32639320666115956,1.077217936515808
proc,holdout_breast_cancer,D1TNSL,CD3E,False,0.6799791038710103,0.705716943137382,0.6548892855644226
proc,holdout_breast_cancer,D1TNSL,CD4,False,-0.3666151090257431,-0.43040134412623926,0.296676367521286
proc,holdout_breast_cancer,D1TNSL,CD40,False,-0.14445473412234222,-0.021539888853172446,0.3048935830593109
proc,holdout_breast_cancer,D1TNSL,CD68,False,0.17978900106334122,0.1724402117112536,0.4628540277481079
proc,holdout_breast_cancer,D1TNSL,CD8A,False,0.717629512180609,0.7350427012094215,0.7064542770385742
proc,holdout_breast_cancer,D1TNSL,CEACAM8,False,0.36575502395353415,0.31030790652740653,1.5376195907592773
proc,holdout_breast_cancer,D1TNSL,CR2,False,-0.37114512339049266,-0.38479955395748033,0.28936871886253357
proc,holdout_breast_cancer,D1TNSL,CXCR5,False,0.33486598351146263,0.4122793309567692,0.6666170954704285
proc,holdout_breast_cancer,D1TNSL,EPCAM,False,0.03462341447568768,-0.04850426746278892,0.348002552986145
proc,holdout_breast_cancer,D1TNSL,FCGR3A,False,-0.11348866324000419,-0.054018797876036063,2.5843493938446045
proc,holdout_breast_cancer,D1TNSL,HLA_DRA,False,0.26714719455590025,0.37471378609132494,0.6368578672409058
proc,holdout_breast_cancer,D1TNSL,ITGAM,False,0.15698533911086196,0.10730495854619522,0.5018478631973267
proc,holdout_breast_cancer,D1TNSL,ITGAX,False,-0.037466024552045715,-0.08109920003468274,0.3884548842906952
proc,holdout_breast_cancer,D1TNSL,KRT5,False,0.6767372387404256,0.8003850165212638,2.1873109340667725
proc,holdout_breast_cancer,D1TNSL,MS4A1,False,0.08542787335519368,0.09655853021925738,0.44985833764076233
proc,holdout_breast_cancer,D1TNSL,PAX5,False,0.3460452754060801,0.39203431884667433,1.452308177947998
proc,holdout_breast_cancer,D1TNSL,PCNA,False,0.2534088675137944,0.3036909209230465,0.44918549060821533
proc,holdout_breast_cancer,D1TNSL,PDCD1,False,-0.26721734581337825,-0.3028833532825511,0.3585948646068573
proc,holdout_breast_cancer,D1TNSL,PECAM1,False,0.46098120278069865,0.4653796767107848,0.5311615467071533
proc,holdout_breast_cancer,D1TNSL,PTPRC_1,False,0.07845192235328088,0.08849892947452334,0.30735158920288086
proc,holdout_breast_cancer,D1TNSL,PTPRC_2,False,0.44400554870662035,0.46214661935817036,0.3966123163700104
proc,holdout_breast_cancer,D1TNSL,SDC1,False,0.01171104036463348,-0.08423426473992843,0.7226737141609192
proc,holdout_breast_cancer,D1TNSL,VIM,False,0.6488668503966449,0.729592394970324,0.529035210609436
proc,holdout_breast_cancer,D1TNSL,mouse_IgG1k,True,0.20633568817819065,0.30119856866452555,0.5031592845916748
proc,holdout_breast_cancer,D1TNSL,mouse_IgG2a,True,-0.011964087684813593,-0.02996116855658741,0.6502378582954407
proc,holdout_breast_cancer,D1TNSL,mouse_IgG2bk,True,0.006668167110998748,0.029102443726902922,2.323211908340454
proc,holdout_breast_cancer,D1TNSL,rat_IgG2a,True,-0.24499711834478577,-0.25295511111223995,0.35160359740257263
raw,holdout_tonsil,A1LN,ACTA2,False,-0.30610817983485833,-0.31120223437415495,0.9472047090530396
raw,holdout_tonsil,A1LN,BCL2,False,0.03435202784570988,0.018024910999172274,0.4133993983268738
raw,holdout_tonsil,A1LN,CCR7,False,-0.05005714882833803,-0.038659068722904595,0.37162232398986816
raw,holdout_tonsil,A1LN,CD14,False,0.2307691256377531,0.2506565464769274,0.35032927989959717
raw,holdout_tonsil,A1LN,CD163,False,0.05571677387256725,0.11448995375837641,0.4647635221481323
raw,holdout_tonsil,A1LN,CD19,False,0.12709506471292245,0.06211995088914996,0.4245547354221344
raw,holdout_tonsil,A1LN,CD27,False,-0.01874576486520188,0.0015292301598681876,0.3306097686290741
raw,holdout_tonsil,A1LN,CD274,False,-0.09515681611563022,0.05714739609528809,1.2016589641571045
raw,holdout_tonsil,A1LN,CD3E,False,0.41156578816345357,0.43336353494821456,0.5856879949569702
raw,holdout_tonsil,A1LN,CD4,False,0.03668612037370051,0.0663267032229935,0.31244197487831116
raw,holdout_tonsil,A1LN,CD40,False,-0.0161333355961624,0.00331219098387803,0.32575058937072754
raw,holdout_tonsil,A1LN,CD68,False,0.36113976190951774,0.40185177791245685,0.6922484040260315
raw,holdout_tonsil,A1LN,CD8A,False,0.23399457288966932,0.3251942570873589,0.5597680807113647
raw,holdout_tonsil,A1LN,CEACAM8,False,-0.04355540968550775,0.014764424826096195,1.7214621305465698
raw,holdout_tonsil,A1LN,CR2,False,-0.030664845303083034,-0.03682176897727303,0.3152431547641754
raw,holdout_tonsil,A1LN,CXCR5,False,0.2412078415893045,0.27486472828708064,0.7962615489959717
raw,holdout_tonsil,A1LN,EPCAM,False,0.034441059057112755,0.057304281237231344,0.4880926012992859
raw,holdout_tonsil,A1LN,FCGR3A,False,0.13790389374327613,0.2948924042898788,2.5281803607940674
raw,holdout_tonsil,A1LN,HLA_DRA,False,0.32497637204707097,0.4178125610047755,0.8589324951171875
raw,holdout_tonsil,A1LN,ITGAM,False,0.16771784726777303,0.23067845970594827,0.6453465819358826
raw,holdout_tonsil,A1LN,ITGAX,False,0.17382324004226898,0.22961563095948598,0.7090064287185669
raw,holdout_tonsil,A1LN,KRT5,False,-0.16635156407813992,-0.04713236575947397,2.491554021835327
raw,holdout_tonsil,A1LN,MS4A1,False,0.1310422757955844,0.10533083740607274,0.7290773391723633
raw,holdout_tonsil,A1LN,PAX5,False,0.1328479646821452,0.08927690828978001,1.3240177631378174
raw,holdout_tonsil,A1LN,PCNA,False,0.28631470831488537,0.4224283589508309,0.6217760443687439
raw,holdout_tonsil,A1LN,PDCD1,False,0.03523304838815769,0.06693168147752315,0.4648968577384949
raw,holdout_tonsil,A1LN,PECAM1,False,0.33695345741042043,0.4569555292286474,0.4987795650959015
raw,holdout_tonsil,A1LN,PTPRC_1,False,0.15525348112590082,0.1843867049594153,0.4473893344402313
raw,holdout_tonsil,A1LN,PTPRC_2,False,0.18703055468761748,0.23403284983952866,0.5496691465377808
raw,holdout_tonsil,A1LN,SDC1,False,-0.07137513981338883,0.09514344322362737,1.2163556814193726
raw,holdout_tonsil,A1LN,VIM,False,-0.37254981096538403,-0.3226163489360689,0.5705645680427551
raw,holdout_tonsil,A1LN,mouse_IgG1k,True,-0.04491602304518985,0.03168138330191205,0.8905408978462219
raw,holdout_tonsil,A1LN,mouse_IgG2a,True,-0.04011336029510956,0.050993126586152314,1.1811292171478271
raw,holdout_tonsil,A1LN,mouse_IgG2bk,True,-0.06993523441429059,-0.06470452698551087,2.0679969787597656
raw,holdout_tonsil,A1LN,rat_IgG2a,True,0.1408126464271801,0.2123850050554502,0.5108078718185425
raw,holdout_tonsil,A1TNSL,ACTA2,False,0.2734655460714423,0.49137962989813894,0.9816176295280457
raw,holdout_tonsil,A1TNSL,BCL2,False,-0.3113331616118331,-0.3090085862846664,0.41672930121421814
raw,holdout_tonsil,A1TNSL,CCR7,False,-0.08014142135474955,-0.004356041695967366,0.3251306712627411
raw,holdout_tonsil,A1TNSL,CD14,False,0.21705326407200723,0.16803021328122872,0.32268577814102173
raw,holdout_tonsil,A1TNSL,CD163,False,0.014806178515675538,0.08263031696393885,0.32056933641433716
raw,holdout_tonsil,A1TNSL,CD19,False,0.07805259724776725,0.10430429847499181,0.31155577301979065
raw,holdout_tonsil,A1TNSL,CD27,False,-0.054829956867519646,0.03266718729963554,0.34487611055374146
raw,holdout_tonsil,A1TNSL,CD274,False,0.2242919471776041,0.26987168488131796,0.9813857674598694
raw,holdout_tonsil,A1TNSL,CD3E,False,0.5180152271298579,0.601627612777397,0.6660586595535278
raw,holdout_tonsil,A1TNSL,CD4,False,-0.27680379310621034,-0.2971854025335623,0.3263619840145111
raw,holdout_tonsil,A1TNSL,CD40,False,0.02735570199955223,0.19373096260621775,0.3236820101737976
raw,holdout_tonsil,A1TNSL,CD68,False,-0.026950451964847764,-0.047326409833549396,0.5548874139785767
raw,holdout_tonsil,A1TNSL,CD8A,False,0.37505411583420567,0.45861841369144496,0.7114025354385376
raw,holdout_tonsil,A1TNSL,CEACAM8,False,-0.11037358398219511,-0.1302729843076923,1.4316502809524536
raw,holdout_tonsil,A1TNSL,CR2,False,-0.21724585969554958,-0.27426307186556753,0.30960702896118164
raw,holdout_tonsil,A1TNSL,CXCR5,False,0.3405513365311258,0.5330018593372073,0.7084229588508606
raw,holdout_tonsil,A1TNSL,EPCAM,False,0.2531276633204041,0.23521686943276057,0.36791327595710754
raw,holdout_tonsil,A1TNSL,FCGR3A,False,0.02501490378943194,0.10388825515600666,2.3800911903381348
raw,holdout_tonsil,A1TNSL,HLA_DRA,False,0.1598865991378728,0.27204967247136025,0.7376915812492371
