experiment,fold,protein,spearman,kind
Internal LODO (20 ep),holdout_breast_cancer,rat_IgG2a,0.1059228926328777,isotype
Internal LODO (100 ep),holdout_breast_cancer,ACTA2,0.5147912636624472,marker
Internal LODO (100 ep),holdout_breast_cancer,BCL2,-0.574724165387534,marker
Internal LODO (100 ep),holdout_breast_cancer,CCR7,-0.2872514661102164,marker
Internal LODO (100 ep),holdout_breast_cancer,CD14,-0.4498118622919941,marker
Internal LODO (100 ep),holdout_breast_cancer,CD163,-0.0984848659856819,marker
Internal LODO (100 ep),holdout_breast_cancer,CD19,0.0100626165289123,marker
Internal LODO (100 ep),holdout_breast_cancer,CD27,0.448391957909692,marker
Internal LODO (100 ep),holdout_breast_cancer,CD274,0.5836051464380357,marker
Internal LODO (100 ep),holdout_breast_cancer,CD3E,0.7727523547967754,marker
Internal LODO (100 ep),holdout_breast_cancer,CD4,-0.3135327564317444,marker
Internal LODO (100 ep),holdout_breast_cancer,CD40,-0.1090480507894719,marker
Internal LODO (100 ep),holdout_breast_cancer,CD68,-0.0510034109355731,marker
Internal LODO (100 ep),holdout_breast_cancer,CD8A,0.6445662288587982,marker
Internal LODO (100 ep),holdout_breast_cancer,CEACAM8,-0.1453204873778421,marker
Internal LODO (100 ep),holdout_breast_cancer,CR2,-0.4415614110188777,marker
Internal LODO (100 ep),holdout_breast_cancer,CXCR5,0.7859680067789233,marker
Internal LODO (100 ep),holdout_breast_cancer,EPCAM,-0.8357942442497804,marker
Internal LODO (100 ep),holdout_breast_cancer,FCGR3A,0.6610991780570212,marker
Internal LODO (100 ep),holdout_breast_cancer,HLA_DRA,-0.147925474131733,marker
Internal LODO (100 ep),holdout_breast_cancer,ITGAM,0.2980660352769274,marker
Internal LODO (100 ep),holdout_breast_cancer,ITGAX,-0.0251390544300893,marker
Internal LODO (100 ep),holdout_breast_cancer,KRT5,0.8429806905643414,marker
Internal LODO (100 ep),holdout_breast_cancer,MS4A1,-0.4265146188530021,marker
Internal LODO (100 ep),holdout_breast_cancer,PAX5,-0.3784203110822697,marker
Internal LODO (100 ep),holdout_breast_cancer,PCNA,0.7732226617491069,marker
Internal LODO (100 ep),holdout_breast_cancer,PDCD1,0.3225283194850292,marker
Internal LODO (100 ep),holdout_breast_cancer,PECAM1,0.5438155527743488,marker
Internal LODO (100 ep),holdout_breast_cancer,PTPRC_1,-0.2116766375757806,marker
Internal LODO (100 ep),holdout_breast_cancer,PTPRC_2,0.7960148911192636,marker
Internal LODO (100 ep),holdout_breast_cancer,SDC1,-0.4062882496120497,marker
Internal LODO (100 ep),holdout_breast_cancer,VIM,0.8163254961624058,marker
Internal LODO (100 ep),holdout_breast_cancer,mouse_IgG1k,-3.351537666221204e-05,isotype
Internal LODO (100 ep),holdout_breast_cancer,mouse_IgG2a,-0.1087583414073027,isotype
Internal LODO (100 ep),holdout_breast_cancer,mouse_IgG2bk,0.4460981299828006,isotype
Internal LODO (100 ep),holdout_breast_cancer,rat_IgG2a,-0.140438048525046,isotype
External GSE263617 (20 ep),holdout_tonsil,ACTA2,0.4567657945827739,marker
External GSE263617 (20 ep),holdout_tonsil,BCL2,-0.0651343620735302,marker
External GSE263617 (20 ep),holdout_tonsil,CCR7,0.0112966195956965,marker
External GSE263617 (20 ep),holdout_tonsil,CD14,0.2517865315096277,marker
External GSE263617 (20 ep),holdout_tonsil,CD163,0.3727648925554255,marker
External GSE263617 (20 ep),holdout_tonsil,CD19,0.4635679700374349,marker
External GSE263617 (20 ep),holdout_tonsil,CD27,-0.0540654743294553,marker
External GSE263617 (20 ep),holdout_tonsil,CD274,0.0087902052842287,marker
External GSE263617 (20 ep),holdout_tonsil,CD3E,0.3092447079307357,marker
External GSE263617 (20 ep),holdout_tonsil,CD4,-0.0206268187983411,marker
External GSE263617 (20 ep),holdout_tonsil,CD40,0.0655346703614863,marker
External GSE263617 (20 ep),holdout_tonsil,CD68,-0.4698826093913093,marker
External GSE263617 (20 ep),holdout_tonsil,CD8A,0.1807242218890056,marker
