gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
ANXA8,2.070380422084086,3.157268265972199,0.015382625815219233,0.9999235661907606,True,2.070380422084086,0.0
AC069544.1,2.1668180920094127,3.1486270728323227,0.015572546875166064,0.9999235661907606,True,2.8698022332816486,0.702984141272236
AC093607.1,-1.6778343375362654,-3.1463364036760697,0.015623309260156093,0.9999235661907606,True,5.836417974017888,7.514252311554153
AL050344.1,-2.148783530706129,-3.142728655278065,0.015703615628681628,0.9999235661907606,True,0.0,2.148783530706129
CWF19L1,1.3811702271640582,3.142161621654381,0.015716277295087525,0.9999235661907606,True,6.092786109817961,4.711615882653903
SLC19A3,2.14788604757699,3.1323517913207493,0.015937052693472575,0.9999235661907606,True,2.597772943140614,0.44988689556362377
YDJC,-2.020349948679949,-3.1256655809418983,0.01608941537151197,0.9999235661907606,True,0.5356806675385688,2.556030616218518
AC008840.1,2.2911679045291633,3.1185397460935733,0.01625349978237967,0.9999235661907606,True,4.044031187924747,1.7528632833955842
NOL4,-2.2621064925031376,-3.1170441840890857,0.01628816261095592,0.9999235661907606,True,1.7521876040337347,4.014294096536872
ALOX15,-3.2496463117472296,-3.114934836110229,0.01633718465651375,0.9999235661907606,True,0.5723439210344834,3.821990232781713
AKR1C2,2.601191305310221,3.111521496881384,0.016416843923556808,0.9999235661907606,True,3.64839561577417,1.047204310463949
LIPH,3.0797589287834626,3.1098081703485967,0.01645698418076178,0.9999235661907606,True,3.480715265766559,0.4009563369830966
CYB5A,1.256220326272751,3.10709531853024,0.01652075469694349,0.9999235661907606,True,5.345490642632258,4.089270316359507
AL499616.1,1.9165228667006922,3.1059358596662228,0.016548089807161753,0.9999235661907606,True,4.561769398370536,2.6452465316698435
RASEF,-2.184215957822392,-3.105435046285148,0.016559911691938288,0.9999235661907606,True,1.0065912991856962,3.1908072570080885
BOK-AS1,2.43363537651949,3.102231268877041,0.01663575032679899,0.9999235661907606,True,2.6623973893870665,0.2287620128675766
ADAMTS13,2.561199116349096,3.09526153428427,0.01680201062420084,0.9999235661907606,True,3.6174080817768,1.0562089654277043
LIN28B-AS1,-1.6580256576419394,-3.093143379272091,0.016852886822817194,0.9999235661907606,True,0.6315440435132706,2.28956970115521
KRT18,3.314328242994067,3.092421064415937,0.016870273510836132,0.9999235661907606,True,4.111852880382196,0.7975246373881296
HPGD,2.2958014350674016,3.0901029254980856,0.016926201517811088,0.9999235661907606,True,4.4913340102802035,2.195532575212802
AC011468.5,-1.6662372427135872,-3.0885942134991002,0.016962706659545065,0.9999235661907606,True,0.33520755766465793,2.0014448003782452
AC009005.1,2.01325779562902,3.0882149875225067,0.016971895618565453,0.9999235661907606,True,2.4539362430161753,0.4406784473871552
AC090589.2,2.4936005746698884,3.0847928460880096,0.017055055988087438,0.9999235661907606,True,3.538918867893352,1.0453182932234635
TRPV3,-2.5071044345794866,-3.084697029910122,0.017057390593275764,0.9999235661907606,True,1.0846028389915525,3.591707273571039
ARPC5,1.2088099219946642,3.0821551350170964,0.017119448877485947,0.9999235661907606,True,7.19794791209961,5.989137990104946
ST3GAL6,1.7415048384071063,3.0809356935753267,0.017149305436446112,0.9999235661907606,True,6.307902729914751,4.566397891507645
HBA2,3.609766031521798,3.072199414419175,0.017364823034701382,0.9999235661907606,True,5.200982623820577,1.5912165922987793
CLBA1,1.8608527655824134,3.0720802495802344,0.017367782505679327,0.9999235661907606,True,4.837263572584384,2.976410807001971
GSG1,-2.3269947844922143,-3.0710912914153488,0.01739236401079252,0.9999235661907606,True,0.9839172538238987,3.310912038316113
ATP5PF,1.8368427145359036,3.0695017271004708,0.01743195141696635,0.9999235661907606,True,4.970371526573513,3.1335288120376092
AC013549.1,-2.4382837970654805,-3.054803529902689,0.017802556909953127,0.9999235661907606,True,0.3101280117896402,2.7484118088551206
TNFAIP8L3,-2.5311251089649285,-3.0506109298645487,0.017909793092260536,0.9999235661907606,True,1.634301272428306,4.165426381393234
NPHP3-AS1,-2.102121859469497,-3.047834327808858,0.017981187784340998,0.9999235661907606,True,0.8060118415852462,2.908133701054743
KCNMA1-AS1,-1.9505764847964824,-3.0430940116397576,0.01810377233562531,0.9999235661907606,True,0.3514862334465118,2.3020627182429942
NBAT1,-2.7470083992434384,-3.042522496353232,0.01811861134443057,0.9999235661907606,True,1.9985602534866853,4.745568652730124
MAF1,-2.5156427244068214,-3.0411934781452876,0.018153168187284227,0.9999235661907606,True,1.0761987570106417,3.5918414814174633
