section,protein,signature,n_genes,rho,p,rho_adj,p_adj,is_isotype
A,MS4A1,HBC,8,-0.26471745844761213,4.2053108851581614e-32,-0.30979873224125676,6.46049560451492e-44,False
A,PAX5,HBC,8,-0.21332781300661688,3.6204640243753024e-21,-0.29875824334904866,8.034332968176385e-41,False
A,PCNA,HBC,8,-0.2020691578425139,4.1144550427893636e-19,-0.32886245880761156,1.3999405564786015e-49,False
A,PDCD1,HBC,8,-0.2588294993678985,1.0223708910322089e-30,-0.3176544317681328,3.357374114893187e-46,False
A,PECAM1,HBC,8,0.17967609748403404,2.257429932171912e-15,0.21948016061029207,2.4264910818158456e-22,False
A,PTPRC_1,HBC,8,0.19937909210162985,1.2243789196858348e-18,0.2838983401865678,7.268267506737769e-37,False
A,PTPRC_2,HBC,8,0.27886944406938025,1.4033177957747806e-35,0.331816703193016,1.702973206577797e-50,False
A,SDC1,HBC,8,-0.2332160707733232,4.301276527115057e-25,-0.2084943983535594,2.856258012864912e-20,False
A,VIM,HBC,8,0.14090068241753778,5.790021362457902e-10,0.28193852772329053,2.320917713461064e-36,False
A,mouse_IgG1k,HBC,8,0.3150444489649391,1.9615392141720866e-45,0.3208654576562148,3.735210417575056e-47,True
A,mouse_IgG2a,HBC,8,0.020636361187754217,0.3665045856226477,0.028063247353562675,0.21939093718534067,True
A,mouse_IgG2bk,HBC,8,0.292426383006521,4.166747530761663e-39,0.3122274549452491,1.2924611945810192e-44,True
A,rat_IgG2a,HBC,8,-0.14886354698963766,5.7517286159656595e-11,-0.16349694857465752,5.919496120640525e-13,True
A,ACTA2,Endo,6,0.20654857936493037,6.467245048774565e-20,0.28527786199368493,3.192020169609653e-37,False
A,BCL2,Endo,6,0.1543747285236517,1.0798272611875939e-11,0.26798232639871244,6.9199308513398e-33,False
A,CCR7,Endo,6,0.0817729965069691,0.00033839690737372583,-0.05900460134736869,0.009766241162987327,False
A,CD14,Endo,6,0.019821065757668413,0.38574701212851314,0.1300526565986868,1.0987204760429261e-08,False
A,CD163,Endo,6,0.047702650423830054,0.03676010877742765,0.19110157491278726,3.18581610349262e-17,False
A,CD19,Endo,6,-0.2750599680182436,1.2689672671430264e-34,-0.2626145663847478,1.3267711970791463e-31,False
A,CD27,Endo,6,0.20948207492590284,1.8805418451894854e-20,0.23978077724119684,1.7948701602823386e-26,False
A,CD274,Endo,6,-0.07250546587933965,0.0014898248221216581,-0.23534573518781773,1.551197502757009e-25,False
